측정월,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),Year
201902,금천구,57.0,37.0,2019
201902,남산,57.0,34.0,2019
201902,노원구,58.0,38.0,2019
201902,도봉구,52.0,33.0,2019
201902,도산대로,62.0,37.0,2019
201902,동대문구,55.0,39.0,2019
201902,동작구,59.0,39.0,2019
201902,동작대로,63.0,34.0,2019
201902,마포구,61.0,36.0,2019
201902,북한산,48.0,31.0,2019
201902,서대문구,56.0,36.0,2019
201902,서초구,54.0,31.0,2019
201902,성동구,66.0,40.0,2019
201902,성북구,55.0,30.0,2019
201902,세곡,56.0,33.0,2019
201902,송파구,56.0,32.0,2019
201902,시흥대로,52.0,32.0,2019
201902,신촌로,51.0,34.0,2019
201902,양천구,64.0,37.0,2019
201902,영등포구,60.0,40.0,2019
201902,영등포로,54.0,30.0,2019
201902,용산구,49.0,36.0,2019
201902,은평구,57.0,31.0,2019
201902,정릉로,61.0,39.0,2019
201902,종로,57.0,33.0,2019
201902,종로구,51.0,31.0,2019
201902,중구,53.0,32.0,2019
201902,중랑구,51.0,35.0,2019
201902,천호대로,63.0,34.0,2019
201902,청계천로,53.0,37.0,2019
201902,한강대로,63.0,38.0,2019
201902,행주,56.0,34.0,2019
201902,홍릉로,62.0,41.0,2019
201902,화랑로,54.0,35.0,2019
201901,강남구,61.0,44.0,2019
201901,강남대로,71.0,41.0,2019
201901,강동구,65.0,42.0,2019
201901,강변북로,71.0,41.0,2019
201901,강북구,71.0,40.0,2019
201901,강서구,76.0,38.0,2019
201901,공항대로,73.0,42.0,2019
201901,관악구,71.0,42.0,2019
201901,관악산,57.0,30.0,2019
201901,광진구,65.0,38.0,2019
201901,구로구,66.0,30.0,2019
201901,궁동,59.0,38.0,2019
201901,금천구,64.0,40.0,2019
201901,남산,63.0,30.0,2019
201901,노원구,68.0,43.0,2019
201901,도봉구,62.0,36.0,2019
201901,도산대로,70.0,39.0,2019
201901,동대문구,61.0,43.0,2019
201901,동작구,64.0,40.0,2019
201901,동작대로,71.0,37.0,2019
201901,마포구,73.0,39.0,2019
201901,북한산,57.0,33.0,2019
201901,서대문구,65.0,40.0,2019
201901,서초구,63.0,30.0,2019
201901,성동구,75.0,42.0,2019
201901,성북구,64.0,32.0,2019
201901,세곡,63.0,31.0,2019
201901,송파구,68.0,37.0,2019
201901,시흥대로,58.0,34.0,2019
201901,신촌로,58.0,38.0,2019
201901,양천구,73.0,41.0,2019
201901,영등포구,70.0,44.0,2019
201901,영등포로,57.0,31.0,2019
201901,용산구,54.0,36.0,2019
201901,은평구,63.0,34.0,2019
201901,정릉로,70.0,43.0,2019
201901,종로,62.0,34.0,2019
201901,종로구,60.0,33.0,2019
201901,중구,60.0,34.0,2019
201901,중랑구,58.0,37.0,2019
201901,천호대로,62.0,32.0,2019
201901,청계천로,53.0,35.0,2019
201901,한강대로,71.0,40.0,2019
201901,행주,76.0,38.0,2019
201901,홍릉로,68.0,43.0,2019
201901,화랑로,61.0,36.0,2019
201812,강남구,40.0,24.0,2018
201812,강남대로,50.0,28.0,2018
201812,강동구,43.0,25.0,2018
201812,강변북로,48.0,26.0,2018
201812,강북구,43.0,24.0,2018
201812,강서구,48.0,23.0,2018
201812,공항대로,58.0,29.0,2018
201812,관악구,47.0,29.0,2018
201812,관악산,34.0,17.0,2018
201812,광진구,40.0,20.0,2018
201812,구로구,43.0,19.0,2018
201812,궁동,41.0,24.0,2018
201812,금천구,41.0,26.0,2018
201812,남산,41.0,20.0,2018
201812,노원구,45.0,26.0,2018
201812,도봉구,40.0,25.0,2018
201812,도산대로,51.0,25.0,2018
201812,동대문구,40.0,28.0,2018
201812,동작구,44.0,23.0,2018
201812,동작대로,49.0,24.0,2018
201812,마포구,50.0,21.0,2018
201812,북한산,35.0,21.0,2018
201812,서대문구,43.0,26.0,2018
201812,서초구,41.0,19.0,2018
201812,성동구,45.0,22.0,2018
201812,성북구,43.0,20.0,2018
201812,세곡,43.0,20.0,2018
201812,송파구,49.0,26.0,2018
201812,시흥대로,41.0,24.0,2018
201812,신촌로,40.0,25.0,2018
201812,양천구,45.0,24.0,2018
201812,영등포구,47.0,27.0,2018
201812,영등포로,39.0,21.0,2018
201812,용산구,35.0,24.0,2018
201812,은평구,42.0,25.0,2018
201812,정릉로,48.0,29.0,2018
201812,종로,42.0,23.0,2018
201812,종로구,41.0,23.0,2018
201812,중구,42.0,25.0,2018
201812,중랑구,36.0,22.0,2018
201812,천호대로,44.0,21.0,2018
201812,청계천로,36.0,24.0,2018
201812,한강대로,48.0,28.0,2018
201812,행주,52.0,23.0,2018
201812,홍릉로,47.0,30.0,2018
201812,화랑로,41.0,24.0,2018
201811,강남구,48.0,25.0,2018
201811,강남대로,64.0,36.0,2018
201811,강동구,57.0,26.0,2018
201811,강변북로,60.0,35.0,2018
201811,강북구,39.0,23.0,2018
201811,강서구,55.0,27.0,2018
201811,공항대로,73.0,36.0,2018
201811,관악구,61.0,38.0,2018
201811,관악산,44.0,22.0,2018
201811,광진구,52.0,26.0,2018
201811,구로구,59.0,30.0,2018
201811,궁동,0.0,0.0,2018
201811,금천구,49.0,31.0,2018
201811,남산,50.0,24.0,2018
201811,노원구,49.0,27.0,2018
201811,도봉구,53.0,32.0,2018
201811,도산대로,63.0,36.0,2018
201811,동대문구,48.0,32.0,2018
201811,동작구,53.0,24.0,2018
201811,동작대로,62.0,35.0,2018
201811,마포구,64.0,32.0,2018
201811,북한산,45.0,27.0,2018
201811,서대문구,53.0,28.0,2018
201811,서초구,56.0,29.0,2018
201811,성동구,50.0,25.0,2018
201811,성북구,50.0,24.0,2018
201811,세곡,52.0,24.0,2018
201811,송파구,65.0,30.0,2018
201811,시흥대로,88.0,32.0,2018
201811,신촌로,52.0,32.0,2018
201811,양천구,50.0,27.0,2018
201811,영등포구,54.0,29.0,2018
201811,영등포로,51.0,29.0,2018
201811,용산구,42.0,28.0,2018
201811,은평구,55.0,34.0,2018
201811,정릉로,61.0,38.0,2018
201811,종로,49.0,27.0,2018
201811,종로구,49.0,25.0,2018
201811,중구,49.0,28.0,2018
201811,중랑구,45.0,24.0,2018
201811,천호대로,55.0,26.0,2018
201811,청계천로,46.0,28.0,2018
201811,한강대로,64.0,38.0,2018
201811,행주,66.0,29.0,2018
201811,홍릉로,57.0,36.0,2018
201811,화랑로,51.0,29.0,2018
201810,강남구,24.0,12.0,2018
201810,강남대로,35.0,19.0,2018
201810,강동구,33.0,14.0,2018
201810,강변북로,34.0,19.0,2018
201810,강북구,20.0,12.0,2018
201810,강서구,27.0,14.0,2018
201810,공항대로,38.0,18.0,2018
201810,관악구,35.0,20.0,2018
201810,광진구,29.0,12.0,2018
201810,구로구,33.0,15.0,2018
201810,금천구,27.0,16.0,2018
201810,노원구,29.0,14.0,2018
201810,도봉구,28.0,16.0,2018
201810,도산대로,36.0,19.0,2018
201810,동대문구,24.0,16.0,2018
201810,동작구,29.0,12.0,2018
201810,동작대로,37.0,19.0,2018
201810,마포구,35.0,17.0,2018
201810,서대문구,27.0,15.0,2018
201810,서초구,31.0,15.0,2018
201810,성동구,30.0,14.0,2018
201810,성북구,28.0,14.0,2018
201810,송파구,30.0,14.0,2018
201810,신촌로,23.0,10.0,2018
201810,양천구,27.0,13.0,2018
201810,영등포구,41.0,21.0,2018
201810,영등포로,36.0,19.0,2018
201810,용산구,21.0,14.0,2018
201810,은평구,30.0,18.0,2018
201810,정릉로,35.0,22.0,2018
201810,종로,26.0,14.0,2018
201810,종로구,26.0,14.0,2018
201810,중구,26.0,14.0,2018
201810,중랑구,23.0,12.0,2018
201810,천호대로,41.0,22.0,2018
201810,청계천로,32.0,19.0,2018
201810,한강대로,40.0,21.0,2018
201810,홍릉로,35.0,22.0,2018
201810,화랑로,29.0,16.0,2018
201809,강남구,16.0,7.0,2018
201809,강남대로,25.0,12.0,2018
201809,강동구,23.0,9.0,2018
201809,강변북로,23.0,11.0,2018
201809,강북구,16.0,8.0,2018
201809,강서구,18.0,9.0,2018
201809,공항대로,26.0,12.0,2018
201809,관악구,25.0,13.0,2018
201809,광진구,20.0,7.0,2018
201809,구로구,22.0,8.0,2018
201809,금천구,22.0,11.0,2018
201809,노원구,21.0,9.0,2018
201809,도봉구,21.0,9.0,2018
201809,도산대로,25.0,11.0,2018
201809,동대문구,15.0,10.0,2018
201809,동작구,21.0,8.0,2018
201809,동작대로,27.0,14.0,2018
201809,마포구,23.0,12.0,2018
201809,서대문구,21.0,10.0,2018
201809,서초구,22.0,8.0,2018
201809,성동구,21.0,10.0,2018
201809,성북구,23.0,10.0,2018
201809,송파구,19.0,9.0,2018
201809,신촌로,28.0,12.0,2018
201809,양천구,19.0,9.0,2018
201809,영등포구,30.0,15.0,2018
201809,영등포로,26.0,12.0,2018
201809,용산구,14.0,8.0,2018
201809,은평구,22.0,14.0,2018
201809,정릉로,24.0,14.0,2018
201809,종로,19.0,9.0,2018
201809,종로구,18.0,9.0,2018
201809,중구,18.0,9.0,2018
201809,중랑구,15.0,7.0,2018
201809,천호대로,19.0,7.0,2018
201809,청계천로,18.0,9.0,2018
201809,한강대로,31.0,14.0,2018
201809,홍릉로,26.0,15.0,2018
201809,화랑로,22.0,11.0,2018
201808,강남구,19.0,11.0,2018
201808,강남대로,26.0,14.0,2018
201808,강동구,25.0,13.0,2018
201808,강변북로,24.0,12.0,2018
201808,강북구,21.0,13.0,2018
201808,강서구,20.0,13.0,2018
201808,공항대로,27.0,17.0,2018
201808,관악구,25.0,14.0,2018
201808,광진구,22.0,14.0,2018
201808,구로구,21.0,13.0,2018
201808,금천구,24.0,14.0,2018
201808,노원구,23.0,12.0,2018
201808,도봉구,24.0,13.0,2018
201808,도산대로,25.0,14.0,2018
201808,동대문구,17.0,14.0,2018
201808,동작구,25.0,12.0,2018
201808,동작대로,29.0,15.0,2018
201808,마포구,20.0,13.0,2018
201808,서대문구,21.0,12.0,2018
201808,서초구,21.0,10.0,2018
201808,성동구,24.0,14.0,2018
201808,성북구,25.0,14.0,2018
201808,송파구,22.0,13.0,2018
201808,신촌로,28.0,14.0,2018
201808,양천구,23.0,14.0,2018
201808,영등포구,31.0,18.0,2018
201808,영등포로,27.0,15.0,2018
201808,용산구,18.0,14.0,2018
201808,은평구,25.0,19.0,2018
201808,정릉로,25.0,16.0,2018
201808,종로,23.0,15.0,2018
201808,종로구,20.0,13.0,2018
201808,중구,23.0,14.0,2018
201808,중랑구,18.0,13.0,2018
201808,천호대로,25.0,14.0,2018
201808,청계천로,30.0,22.0,2018
201808,한강대로,35.0,17.0,2018
201808,홍릉로,30.0,21.0,2018
201808,화랑로,28.0,14.0,2018
201807,강남구,21.0,15.0,2018
201807,강남대로,25.0,16.0,2018
201807,강동구,30.0,17.0,2018
201807,강변북로,27.0,15.0,2018
201807,강북구,25.0,16.0,2018
201807,강서구,24.0,16.0,2018
201807,공항대로,28.0,19.0,2018
201807,관악구,26.0,16.0,2018
201807,광진구,25.0,16.0,2018
201807,구로구,21.0,13.0,2018
201807,금천구,28.0,17.0,2018
201807,노원구,26.0,18.0,2018
201807,도봉구,26.0,14.0,2018
201807,도산대로,27.0,16.0,2018
201807,동대문구,22.0,17.0,2018
201807,동작구,28.0,14.0,2018
201807,동작대로,29.0,17.0,2018
201807,마포구,21.0,14.0,2018
201807,서대문구,23.0,14.0,2018
201807,서초구,21.0,13.0,2018
201807,성동구,25.0,15.0,2018
201807,성북구,28.0,16.0,2018
201807,송파구,24.0,15.0,2018
201807,신촌로,36.0,19.0,2018
201807,양천구,25.0,16.0,2018
201807,영등포구,30.0,20.0,2018
201807,영등포로,36.0,23.0,2018
201807,용산구,23.0,17.0,2018
201807,은평구,25.0,20.0,2018
201807,정릉로,27.0,18.0,2018
201807,종로,26.0,17.0,2018
201807,종로구,23.0,18.0,2018
201807,중구,25.0,16.0,2018
201807,중랑구,21.0,15.0,2018
201807,천호대로,29.0,18.0,2018
201807,청계천로,33.0,24.0,2018
201807,한강대로,36.0,18.0,2018
201807,홍릉로,33.0,24.0,2018
201807,화랑로,35.0,20.0,2018
201806,강남구,32.0,23.0,2018
201806,강남대로,40.0,28.0,2018
201806,강동구,39.0,21.0,2018
201806,강변북로,45.0,29.0,2018
201806,강북구,32.0,18.0,2018
201806,강서구,34.0,22.0,2018
201806,공항대로,43.0,28.0,2018
201806,관악구,44.0,30.0,2018
201806,광진구,39.0,24.0,2018
201806,구로구,40.0,26.0,2018
201806,금천구,38.0,23.0,2018
201806,노원구,33.0,20.0,2018
201806,도봉구,37.0,23.0,2018
201806,도산대로,47.0,30.0,2018
201806,동대문구,30.0,23.0,2018
201806,동작구,37.0,24.0,2018
201806,동작대로,49.0,30.0,2018
201806,마포구,42.0,27.0,2018
201806,서대문구,39.0,28.0,2018
201806,서초구,39.0,23.0,2018
201806,성동구,44.0,25.0,2018
201806,성북구,39.0,25.0,2018
201806,송파구,37.0,24.0,2018
201806,신촌로,58.0,30.0,2018
201806,양천구,34.0,24.0,2018
201806,영등포구,48.0,33.0,2018
201806,영등포로,55.0,34.0,2018
201806,용산구,32.0,23.0,2018
201806,은평구,38.0,29.0,2018
201806,정릉로,42.0,29.0,2018
201806,종로,33.0,21.0,2018
201806,종로구,31.0,20.0,2018
201806,중구,34.0,22.0,2018
201806,중랑구,29.0,21.0,2018
201806,천호대로,41.0,22.0,2018
201806,청계천로,46.0,31.0,2018
201806,한강대로,53.0,32.0,2018
201806,홍릉로,46.0,33.0,2018
201806,화랑로,46.0,31.0,2018
201805,강남구,37.0,22.0,2018
201805,강남대로,49.0,27.0,2018
201805,강동구,45.0,20.0,2018
201805,강변북로,53.0,29.0,2018
201805,강북구,37.0,16.0,2018
201805,강서구,39.0,21.0,2018
201805,공항대로,48.0,25.0,2018
201805,관악구,50.0,28.0,2018
201805,광진구,43.0,20.0,2018
201805,구로구,45.0,20.0,2018
201805,금천구,41.0,20.0,2018
201805,노원구,39.0,18.0,2018
201805,도봉구,40.0,20.0,2018
201805,도산대로,53.0,29.0,2018
201805,동대문구,37.0,21.0,2018
201805,동작구,42.0,22.0,2018
201805,동작대로,55.0,25.0,2018
201805,마포구,48.0,25.0,2018
201805,서대문구,47.0,26.0,2018
201805,서초구,44.0,20.0,2018
201805,성동구,45.0,25.0,2018
201805,성북구,50.0,25.0,2018
201805,송파구,44.0,23.0,2018
201805,신촌로,58.0,24.0,2018
201805,양천구,38.0,23.0,2018
201805,영등포구,53.0,31.0,2018
201805,영등포로,54.0,30.0,2018
201805,용산구,36.0,20.0,2018
201805,은평구,48.0,28.0,2018
201805,정릉로,51.0,30.0,2018
201805,종로,34.0,17.0,2018
201805,종로구,36.0,18.0,2018
201805,중구,38.0,20.0,2018
201805,중랑구,35.0,20.0,2018
201805,천호대로,47.0,24.0,2018
201805,청계천로,53.0,29.0,2018
201805,한강대로,57.0,31.0,2018
201805,홍릉로,51.0,30.0,2018
201805,화랑로,46.0,25.0,2018
201804,강남구,47.0,24.0,2018
201804,강남대로,62.0,29.0,2018
201804,강동구,65.0,31.0,2018
201804,강변북로,61.0,30.0,2018
201804,강북구,48.0,21.0,2018
201804,강서구,48.0,24.0,2018
201804,공항대로,59.0,27.0,2018
201804,관악구,57.0,30.0,2018
201804,광진구,54.0,23.0,2018
201804,구로구,59.0,28.0,2018
201804,금천구,48.0,23.0,2018
201804,노원구,50.0,23.0,2018
201804,도봉구,57.0,29.0,2018
201804,도산대로,65.0,30.0,2018
201804,동대문구,46.0,24.0,2018
201804,동작구,47.0,23.0,2018
201804,동작대로,61.0,27.0,2018
201804,마포구,58.0,26.0,2018
201804,서대문구,54.0,27.0,2018
201804,서초구,64.0,27.0,2018
201804,성동구,61.0,31.0,2018
201804,성북구,57.0,24.0,2018
201804,송파구,58.0,25.0,2018
201804,신촌로,67.0,27.0,2018
201804,양천구,44.0,25.0,2018
201804,영등포구,59.0,31.0,2018
201804,영등포로,66.0,34.0,2018
201804,용산구,48.0,27.0,2018
201804,은평구,53.0,28.0,2018
201804,정릉로,62.0,31.0,2018
201804,종로,42.0,19.0,2018
201804,종로구,45.0,22.0,2018
201804,중구,43.0,22.0,2018
201804,중랑구,46.0,22.0,2018
201804,천호대로,54.0,26.0,2018
201804,청계천로,57.0,30.0,2018
201804,한강대로,63.0,31.0,2018
201804,홍릉로,61.0,32.0,2018
201804,화랑로,60.0,28.0,2018
201803,강남구,38.0,26.0,2018
201803,강남대로,53.0,30.0,2018
201803,강동구,46.0,28.0,2018
201803,강변북로,49.0,25.0,2018
201803,강북구,37.0,21.0,2018
201803,강서구,42.0,26.0,2018
201803,공항대로,55.0,30.0,2018
201803,관악구,45.0,31.0,2018
201803,광진구,41.0,24.0,2018
201803,구로구,49.0,31.0,2018
201803,금천구,43.0,26.0,2018
201803,노원구,42.0,25.0,2018
201803,도봉구,43.0,24.0,2018
201803,도산대로,52.0,28.0,2018
201803,동대문구,38.0,26.0,2018
201803,동작구,42.0,27.0,2018
201803,동작대로,56.0,33.0,2018
201803,마포구,44.0,30.0,2018
201803,서대문구,37.0,24.0,2018
201803,서초구,48.0,27.0,2018
201803,성동구,45.0,28.0,2018
201803,성북구,42.0,25.0,2018
201803,송파구,41.0,23.0,2018
201803,신촌로,52.0,33.0,2018
201803,양천구,40.0,28.0,2018
201803,영등포구,48.0,30.0,2018
201803,영등포로,59.0,32.0,2018
201803,용산구,37.0,28.0,2018
201803,은평구,41.0,24.0,2018
201803,정릉로,51.0,26.0,2018
201803,종로,35.0,19.0,2018
201803,종로구,36.0,23.0,2018
201803,중구,35.0,23.0,2018
201803,중랑구,37.0,23.0,2018
201803,천호대로,54.0,30.0,2018
201803,청계천로,39.0,26.0,2018
201803,한강대로,53.0,27.0,2018
201803,홍릉로,47.0,28.0,2018
201803,화랑로,45.0,27.0,2018
201802,강남구,50.0,30.0,2018
201802,강남대로,64.0,34.0,2018
201802,강동구,59.0,33.0,2018
201802,강변북로,61.0,28.0,2018
201802,강북구,50.0,26.0,2018
201802,강서구,52.0,30.0,2018
201802,공항대로,62.0,34.0,2018
201802,관악구,48.0,33.0,2018
201802,광진구,53.0,29.0,2018
201802,구로구,57.0,28.0,2018
201802,금천구,50.0,30.0,2018
201802,노원구,54.0,30.0,2018
201802,도봉구,58.0,30.0,2018
201802,도산대로,61.0,30.0,2018
201802,동대문구,50.0,31.0,2018
201802,동작구,53.0,32.0,2018
201802,동작대로,65.0,36.0,2018
201802,마포구,53.0,34.0,2018
201802,서대문구,57.0,26.0,2018
201802,서초구,54.0,26.0,2018
201802,성동구,57.0,33.0,2018
201802,성북구,55.0,30.0,2018
201802,송파구,58.0,30.0,2018
201802,신촌로,68.0,37.0,2018
201802,양천구,49.0,32.0,2018
201802,영등포구,61.0,33.0,2018
201802,영등포로,66.0,35.0,2018
201802,용산구,47.0,27.0,2018
201802,은평구,56.0,29.0,2018
201802,정릉로,66.0,29.0,2018
201802,종로,47.0,23.0,2018
201802,종로구,46.0,27.0,2018
201802,중구,45.0,28.0,2018
201802,중랑구,49.0,28.0,2018
201802,천호대로,61.0,25.0,2018
201802,청계천로,47.0,30.0,2018
201802,한강대로,63.0,32.0,2018
201802,홍릉로,56.0,33.0,2018
201802,화랑로,54.0,27.0,2018
201801,강남구,43.0,33.0,2018
201801,강남대로,64.0,26.0,2018
201801,강동구,57.0,36.0,2018
201801,강변북로,54.0,21.0,2018
201801,강북구,47.0,26.0,2018
201801,강서구,52.0,34.0,2018
201801,공항대로,63.0,34.0,2018
201801,관악구,48.0,36.0,2018
201801,광진구,54.0,32.0,2018
201801,구로구,59.0,37.0,2018
201801,금천구,50.0,34.0,2018
201801,노원구,52.0,32.0,2018
201801,도봉구,55.0,32.0,2018
201801,도산대로,61.0,29.0,2018
201801,동대문구,56.0,31.0,2018
201801,동작구,53.0,36.0,2018
201801,동작대로,59.0,30.0,2018
201801,마포구,52.0,34.0,2018
201801,서대문구,65.0,33.0,2018
201801,서초구,59.0,35.0,2018
201801,성동구,53.0,33.0,2018
201801,성북구,51.0,32.0,2018
201801,송파구,57.0,30.0,2018
201801,신촌로,68.0,33.0,2018
201801,양천구,47.0,33.0,2018
201801,영등포구,57.0,36.0,2018
201801,영등포로,66.0,28.0,2018
201801,용산구,48.0,32.0,2018
201801,은평구,51.0,32.0,2018
201801,정릉로,63.0,31.0,2018
201801,종로,43.0,28.0,2018
201801,종로구,45.0,30.0,2018
201801,중구,45.0,30.0,2018
201801,중랑구,55.0,33.0,2018
201801,천호대로,63.0,27.0,2018
201801,청계천로,48.0,30.0,2018
201801,한강대로,59.0,27.0,2018
201801,홍릉로,54.0,34.0,2018
201801,화랑로,50.0,22.0,2018
201712,강남구,42.0,33.0,2017
201712,강남대로,59.0,23.0,2017
201712,강동구,55.0,34.0,2017
201712,강변북로,51.0,22.0,2017
201712,강북구,49.0,28.0,2017
201712,강서구,35.0,20.0,2017
201712,공항대로,63.0,33.0,2017
201712,관악구,45.0,32.0,2017
201712,광진구,51.0,32.0,2017
201712,구로구,54.0,35.0,2017
201712,금천구,47.0,32.0,2017
201712,노원구,52.0,33.0,2017
201712,도봉구,51.0,31.0,2017
201712,도산대로,58.0,28.0,2017
201712,동대문구,57.0,32.0,2017
201712,동작구,50.0,34.0,2017
201712,동작대로,55.0,26.0,2017
201712,마포구,44.0,32.0,2017
201712,서대문구,48.0,28.0,2017
201712,서초구,58.0,35.0,2017
201712,성동구,52.0,33.0,2017
201712,성북구,51.0,30.0,2017
201712,송파구,49.0,31.0,2017
201712,신촌로,66.0,34.0,2017
201712,양천구,49.0,30.0,2017
201712,영등포구,54.0,32.0,2017
201712,영등포로,63.0,27.0,2017
201712,용산구,48.0,32.0,2017
201712,은평구,49.0,30.0,2017
201712,정릉로,63.0,34.0,2017
201712,종로,40.0,26.0,2017
201712,종로구,45.0,31.0,2017
201712,중구,44.0,30.0,2017
201712,중랑구,49.0,29.0,2017
201712,천호대로,58.0,28.0,2017
201712,청계천로,49.0,31.0,2017
201712,한강대로,58.0,24.0,2017
201712,홍릉로,54.0,35.0,2017
201712,화랑로,50.0,24.0,2017
201711,강남구,41.0,25.0,2017
201711,강남대로,54.0,19.0,2017
201711,강동구,47.0,21.0,2017
201711,강변북로,48.0,18.0,2017
201711,강북구,40.0,20.0,2017
