가게 이름,메뉴,주소,좋아요 개수,점수,위도,경도
토마토도시락,도시락,충청남도 천안시 동남구 안서동 384-3,3,12,36.8408035,127.1813102
골짜기식당,"칼국수, 닭도리탕",충청남도 천안시 동남구 안서동 산98-3,0,12,36.8372014,127.1905059
아산염치큰고개식당,삼겹살,충청남도 천안시 동남구 안서동 241-27,0,12,36.830482,127.1755
화덕갈매기,"갈매기살, 삼겹살",충청남도 천안시 동남구 안서동 379-38,3,12,36.8420399,127.181843
웰빙천안 콩나물국밥,콩나물국밥,충청남도 천안시 동남구 안서동 447-16,0,12,36.8389375,127.1739282
빈스빈스커피,커피,충청남도 천안시 동남구 안서동 261-5,2,12,36.8302753,127.1811903
깐치호,치킨,충청남도 천안시 동남구 안서동 317-10,0,12,36.8318836,127.1749009
훌랄라 참숯바베큐치킨,치킨,충청남도 천안시 동남구 안서동 252-18,0,12,36.8311138,127.1788956
일미닭갈비,닭갈비,충청남도 천안시 동남구 안서동 226-23,1,12,36.8304624,127.1776167
커피동경,커피,충청남도 천안시 동남구 안서동 323-14,0,12,36.8327677,127.1756773
파파스테이블,"돈까스무한리필, 돈까스",충청남도 천안시 동남구 안서동 273,0,12,36.8289882,127.1844348
이슬목장,된장찌개,충청남도 천안시 동남구 안서동 226-19,0,12,36.8306713,127.1771986
슬로우커피,커피,충청남도 천안시 동남구 안서동 468-1,1,12,36.83576190000001,127.1730419
킹콩쥬스 안서점,쥬스,충청남도 천안시 동남구 안서동 234-1,0,12,36.8307905,127.1781547
장수삼계탕,삼계탕,충청남도 천안시 동남구 안서동 506-22,0,12,36.8333825,127.1735025
아띠아즈,커피,충청남도 천안시 동남구 안서동 145-1,0,12,36.8320037,127.1869677
왔쏘,"소고기무한리필, 소고기",충청남도 천안시 동남구 안서동 226-27,0,12,36.830356,127.1769565
리프에스프레소,커피,충청남도 천안시 동남구 안서동 323-14,0,12,36.8327677,127.1756773
스타벅스,커피,충청남도 천안시 동남구 안서동 231-3,0,12,36.83008710000001,127.1797787
굿마나카페,커피,충청남도 천안시 동남구 안서동 324-14,0,12,36.8331824,127.1746695
깨돌이김밥,분식,충청남도 천안시 동남구 안서동 226-21,0,12,36.8307536,127.1776315
멕시카나치킨,치킨,충청남도 천안시 동남구 안서동 386,0,12,36.8411054,127.1807979
명자밥상,집밥,충청남도 천안시 동남구 안서동 76-2,0,12,36.8444812,127.1867145
차차치킨,치킨,충청남도 천안시 동남구 안서동 426-1,1,12,36.8437994,127.1854492
참맛있네탕수육,탕수육,충청남도 천안시 동남구 안서동 516-1,0,12,36.8315095,127.1744946
이모네식당,"뼈해장국, 찌개, 제육볶음밥",충청남도 천안시 동남구 안서동 385-13,0,12,36.8410721,127.1811974
봉구스밥버거,밥버거,충청남도 천안시 동남구 안서동 379-38,0,12,36.8420399,127.181843
돈까스스쿨,돈까스,충청남도 천안시 동남구 안서동 321-35,0,12,36.8330094,127.1757072
하이린,"짜장면, 짬뽕, 탕수육",충청남도 천안시 동남구 안서동 324-14,0,12,36.8331824,127.1746695
미스터짱닭,치킨,충청남도 천안시 동남구 안서동 516-6,0,12,36.8313723,127.1744535
경아두마리치킨,치킨,충청남도 천안시 동남구 안서동 223-3,0,12,36.82993740000001,127.1772737
본도시락,도시락,충청남도 천안시 동남구 안서동 314,0,12,36.8315316,127.1748228
3층커피마녀,커피,충청남도 천안시 동남구 안서동 234-13,0,12,36.8305525,127.1790462
카페페포니,커피,충청남도 천안시 동남구 안서동 335-1,0,12,36.8377033,127.1774955
SBCOFFEE&BAR,커피,충청남도 천안시 동남구 안서동 226-16,0,12,36.8305514,127.1766775
끼니와새참,"분식, 순두부찌개, 라면",충청남도 천안시 동남구 안서동 382,0,12,36.8415618,127.1817741
아우네순대&보쌈,"순대, 보쌈",충청남도 천안시 동남구 안서동 274,0,12,36.8289075,127.1837002
국시각시,국수,충청남도 천안시 동남구 안서동 252-18,0,12,36.8311138,127.1788956
붉은수탉,"술집, 치킨",충청남도 천안시 동남구 안서동 226-17,0,12,36.8305896,127.1768553
