가게 이름,메뉴,주소,좋아요 개수,점수
깨돌이김밥,분식,충청남도 천안시 동남구 안서동 226-21,0,12
멕시카나치킨,"오징어짬뽕, 치킨",충청남도 천안시 동남구 안서동 386,0,12
명자밥상,집밥,충청남도 천안시 동남구 안서동 76-2,0,12
차차치킨,"치킨집, 치킨",충청남도 천안시 동남구 안서동 426-1,1,12
참맛있네탕수육,탕수육,충청남도 천안시 동남구 안서동 516-1,0,12
이모네식당,"하모, 삼겹살",충청남도 천안시 동남구 안서동 385-13,0,12
봉구스밥버거,밥버거,충청남도 천안시 동남구 안서동 379-38,0,12
돈까스스쿨,돈까스,충청남도 천안시 동남구 안서동 321-35,0,12
하이린,,충청남도 천안시 동남구 안서동 324-14,0,12
미스터짱닭,"치킨, 치즈",충청남도 천안시 동남구 안서동 516-6,0,12
경아두마리치킨,치킨,충청남도 천안시 동남구 안서동 223-3,0,12
본도시락,"더덕장어, 도시락",충청남도 천안시 동남구 안서동 314,0,12
3층커피마녀,카페,충청남도 천안시 동남구 안서동 234-13,0,12
카페페포니,카페,충청남도 천안시 동남구 안서동 335-1,0,12
SBCOFFEE&BAR,"닭발, 카페",충청남도 천안시 동남구 안서동 226-16,0,12
끼니와새참,,충청남도 천안시 동남구 안서동 382,0,12
아우네순대&보쌈,,충청남도 천안시 동남구 안서동 274,0,12
국시각시,국수,충청남도 천안시 동남구 안서동 252-18,0,12
붉은수탉,카페,충청남도 천안시 동남구 안서동 226-17,0,12
